policy,knob,config,cost_instance_hours,slo_violation_fraction,slo_threshold_s,p50_age_s,p99_age_s,max_age_s,mean_instances,messages_arrived,messages_completed,unprocessed_at_end,completion_fraction
forecast_seasonal_naive_composed,0.7,"q=0.7, util=1",14115.976890185335,0.0005226480836236934,60.0,0.0,11.957586186069378,96.68733863593661,47.921544715447155,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.8,"q=0.8, util=0.7",18897.557841051857,0.020441347270615563,60.0,0.0,425.3574184947396,792.302558026975,62.34221835075493,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_composed,0.8,"q=0.8, util=0.7",19048.7321108869,5.8072009291521487e-05,60.0,0.0,0.2569780487675837,61.080952808479196,63.107317073170734,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.8,"q=0.8, util=0.85",15591.233469266745,0.12351916376306621,60.0,0.0,17286.061490373973,22323.87102069077,51.41202090592334,1249487,1249428,59,0.9999527806211669
forecast_seasonal_naive_composed,0.8,"q=0.8, util=0.85",16111.502752771254,5.8072009291521487e-05,60.0,0.0,4.132019834492838,61.080952808479196,53.80981416957027,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.8,"q=0.8, util=1",13271.40913696862,0.32955865272938445,60.0,0.0,28457.666868969445,30921.65005556203,43.75232288037166,1249487,1247972,1515,0.9987875023909812
forecast_seasonal_naive_composed,0.8,"q=0.8, util=1",14519.440989532435,0.00023228803716608595,60.0,0.0,8.467465549188288,76.89843032488716,49.07479674796748,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.9,"q=0.9, util=0.7",20663.538815198626,0.008072009291521487,60.0,0.0,41.21190894228762,336.7490608791122,68.2855981416957,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_composed,0.9,"q=0.9, util=0.7",20736.376527919183,0.0,60.0,0.0,0.0,30.374976146384142,68.6746225319396,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.9,"q=0.9, util=0.85",17039.06287421813,0.05476190476190476,60.0,0.0,3404.548659591419,4788.110789119848,56.29825783972125,1249487,1249448,39,0.9999687871902628
forecast_seasonal_naive_composed,0.9,"q=0.9, util=0.85",17329.137856405647,5.8072009291521487e-05,60.0,0.0,1.5294995765993509,61.080952808479196,57.67578397212544,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.9,"q=0.9, util=1",14508.919589494713,0.17921022067363532,60.0,0.0,21673.17720634825,26392.572422399768,47.9246806039489,1249487,1249181,306,0.9997550994928318
forecast_seasonal_naive_composed,0.9,"q=0.9, util=1",15281.816304307376,0.00017421602787456446,60.0,0.0,4.550473261699835,67.11241052800324,51.34425087108014,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.95,"q=0.95, util=0.7",22506.898069019106,0.0010452961672473868,60.0,0.0,0.0,136.32272241380997,74.48641114982578,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_composed,0.95,"q=0.95, util=0.7",22540.495058905395,0.0,60.0,0.0,0.0,30.374976146384142,74.66765389082462,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.95,"q=0.95, util=0.85",18557.533181310628,0.021254355400696864,60.0,0.0,467.75491266510267,846.3205700134858,61.41596980255517,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_composed,0.95,"q=0.95, util=0.85",18713.207177391905,0.0,60.0,0.0,0.0,30.374976146384142,62.17444831591173,1249487,1249450,37,0.9999703878471725
